Aspest,Elevation,Slope,MAP,Distance to Roads,Distance to Faults,Distance to Rivers,NDVI,Lithology,label
174.6990051,2152,22.0923996,787.690979,0,0,0,0.526926,4,0
163.5599976,2135,27.9237003,858.4229736,4,0,0,0.636241,4,0
231.1699982,1827,12.3689003,869.5809937,0,0,0,0.477179,4,1
78.9590988,1918,19.1935005,1082.339966,3,0,0,0.459032,2,1
313.4089966,928,11.9812002,891.3239746,0,0,0,0.328182,2,0
171.572998,1700,12.8142004,1013.700012,2,0,0,0.308798,2,1
24.1455002,1656,21.6658001,1012.52002,0,0,1,0.605531,2,0
206.5650024,475,4.2626901,874.5009766,0,0,4,-0.0250591,2,0
104.0360031,1743,11.6485996,809.9229736,0,0,0,0.212856,3,0
333.946991,2063,22.6564007,877.7119751,2,0,0,0.550962,3,0
256.7590027,1446,16.2287006,908.9790039,4,0,3,0.30445,2,1
75.7354965,1539,26.8990002,775.0939941,1,0,1,0.403844,4,1
13.2405005,1816,8.2804298,844.5859985,0,0,0,0.317703,2,1
67.4794006,1763,20.2980003,793.0130005,0,0,2,0.495496,4,0
258.6900024,1875,1.2171201,807.1519775,0,0,0,0.476884,4,0
160.1329956,1720,27.7987003,1157.449951,0,0,0,0.441089,2,1
347.0050049,1949,6.34412,829.2509766,0,0,0,0.189029,2,0
92.0699997,1754,19.0886002,779.6849976,3,0,1,0.319602,1,1
327.4500122,1599,24.9221001,795.9520264,2,0,0,0.4074,3,1
89.3259964,1731,19.5037003,763.0310059,3,0,2,0.396908,3,1
352.1849976,1514,40.6286011,1130.609985,0,0,0,0.55668,2,0
101.8889999,1969,9.1910295,777.223999,1,2,0,0.558804,4,0
166.6069946,1856,28.3547001,916.0460205,0,0,1,0.560632,4,0
233.5310059,1873,13.4056997,961.6640015,3,0,0,0.198261,2,1
10.4914999,836,6.5269899,965.4769897,1,2,0,0.484882,3,0
341.2590027,1873,26.2339001,762.6019897,2,0,2,0.533268,4,0
172.9989929,2065,13.4569998,1130.75,2,0,0,0.588801,4,1
289.7990112,1979,6.3175502,835.8530273,0,0,0,0.48838,3,0
323.1300049,1906,16.2602005,848.4229736,0,0,0,0.390546,2,1
21.3705997,1611,22.3738003,1180.530029,0,0,0,0.67488,2,0
106.8759995,1724,21.1825008,1007.919983,0,0,0,0.449712,4,1
192.3809967,2128,9.9207296,849.4439697,0,0,0,0.197799,3,1
257.4710083,1348,4.3933802,808.8400269,0,0,0,0.499036,4,1
22.5571995,1486,16.3448009,1105.949951,2,0,0,0.431622,4,1
144.5740051,1156,26.3810005,882.1420288,2,0,3,0.349779,4,1
344.9819946,1419,10.0304003,841.1480103,1,0,1,0.412161,2,1
183.8139954,828,14.0662003,847.0159912,0,0,4,0.134196,2,1
263.4719849,1295,40.1296997,756.632019,4,3,4,0.557218,4,1
88.9583969,1562,12.9095001,784.4359741,4,3,0,0.319769,3,1
15.8656998,1625,22.3675995,938.8099976,0,0,0,0.440286,2,0
309.5310059,1687,29.0930004,763.757019,0,0,0,0.303768,2,1
355.6010132,1775,3.1096301,826.4219971,0,0,0,0.227963,2,0
47.2025986,457,8.7166996,888.5120239,2,0,4,0.191231,3,0
295.8210144,1707,8.1658096,802.7130127,4,0,0,0.343256,2,0
91.2189026,1393,30.4398994,961.7600098,1,0,0,0.547774,4,0
135,1291,8.0494699,895.960022,0,0,0,0.355545,3,1
144.1179962,1467,25.7994003,1065.869995,0,0,0,0.353984,4,1
27.4076004,1087,14.2221003,1076.890015,0,0,3,0.407222,2,1
250.3009949,1769,19.7217007,805.0479736,4,3,0,0.460214,3,1
25.5599995,1345,23.0214996,721.7579956,0,0,3,0.544464,2,1
31.5347996,1916,23.2772007,1062.550049,0,2,0,0.660651,4,0
220.1009979,1732,11.6948004,979.5289917,2,0,0,0.166889,2,1
30.2917004,1698,25.9834995,755.8670044,0,0,0,0.362849,2,0
144.0189972,1633,20.6002007,999.5770264,0,0,0,0.543425,4,1
8.2858,1732,23.4461002,813.8289795,1,0,0,0.43326,3,0
284.4700012,1121,14.9384003,812.9290161,0,0,4,0.344118,4,1
212.7640076,1542,26.5856991,1000.659973,0,0,0,0.572926,2,0
307.95401,1747,27.8532009,1035.109985,0,0,0,0.591212,2,0
169.2160034,1773,10.1011,791.0859985,0,0,0,0.559895,4,1
254.7449951,2282,18.3945999,1101.979981,0,0,0,0.450066,2,0
332.9689941,2129,24.6271992,1085.430054,0,0,0,0.552649,2,0
103.1729965,1620,21.9125004,770.4799805,0,0,2,0.389322,2,1
45,525,2.0248699,842.3109741,4,0,3,0.46428,2,1
213.4859924,1425,17.9902992,1013.030029,0,0,0,0.570415,2,0
133.9389954,1593,32.4770012,1006.059998,0,0,0,0.467771,4,1
8.6156502,2205,15.5432997,891.335022,0,0,0,0.49666,2,0
302.1520081,1792,34.5668983,997.1740112,0,0,0,0.488302,4,0
266.3789978,1422,18.2539005,1156.719971,3,0,0,0.499437,2,0
334.2900085,1977,26.5396004,851.3400269,0,1,3,0.444012,3,1
36.3268013,1352,19.3759003,910.822998,0,0,0,0.476203,2,0
119.0550003,1781,2.4563899,798.7670288,3,3,1,0.240881,1,0
246.5410004,1694,13.5353003,801.6259766,2,0,0,0.460968,2,0
260.5379944,1093,2.9018199,689.1779785,0,0,4,0.458346,4,0
342.197998,1645,25.5014,999.2199707,0,0,0,0.497611,2,1
152.1759949,1586,18.7378998,714.6209717,0,0,0,0.371711,2,1
267.5100098,837,5.47927,918.6619873,0,0,0,0.349675,2,0
138.3659973,2040,21.8698997,853.257019,0,0,0,0.100599,2,1
31.1592999,2171,22.7212009,1248.01001,0,0,0,0.53169,2,0
135,1125,5.7204299,918.5300293,4,0,0,0.387544,2,1
190.9230042,1912,13.5977001,819.0289917,2,0,0,0.0795837,2,1
194.4900055,2514,20.9575996,1231.630005,0,0,0,0.712629,4,0
359.118988,1884,15.1557999,810.3029785,1,0,0,0.519828,2,0
134.4149933,2076,30.0065002,787.4470215,0,0,0,0.566397,4,0
99.1623001,1808,14.6639004,1021.330017,4,0,0,0.279605,2,1
266.9869995,1288,4.5327101,904.03302,0,0,0,0.31443,2,1
80.3625031,951,24.1319008,966.9619751,3,3,2,0.301986,4,0
209.8139954,1394,23.1420002,917.3079834,0,0,0,0.388664,2,1
